Assignee,Role,Main Flow,Jira Key,Task ID,Task Name,Module,Runtime,Story,Priority,Status,Jira URL,Source URL
Khovan,Main flow lead / backend orchestration,true,LCSP-2,MW-aiuf-001,AIUsageFlow Callback Endpoint,ai-usage-flow,nestjs-api,4.2,P0,READY_FOR_DEV,https://minhpnq1807.atlassian.net/browse/LCSP-2,https://github.com/khovan123/LCSP/blob/main/docs/implementation/tasks/modules/ai-usage-flow/01-ai-usage-flow-callback-endpoint.md
Khovan,Main flow lead / backend orchestration,true,LCSP-59,MW-asmt-001,Create Assessment Endpoint,assessment,nestjs-api,2.1,P0,READY_FOR_DEV,https://minhpnq1807.atlassian.net/browse/LCSP-59,https://github.com/khovan123/LCSP/blob/main/docs/implementation/tasks/modules/assessment/01-create-assessment-endpoint.md
Khovan,Main flow lead / backend orchestration,true,LCSP-60,MW-asmt-002,Get Assessment Endpoint,assessment,nestjs-api,2.3,P0,READY_FOR_DEV,https://minhpnq1807.atlassian.net/browse/LCSP-60,https://github.com/khovan123/LCSP/blob/main/docs/implementation/tasks/modules/assessment/02-get-assessment-endpoint.md
Khovan,Main flow lead / backend orchestration,true,LCSP-61,MW-asmt-003,List Assessments Endpoint,assessment,nestjs-api,2.1,P0,READY_FOR_DEV,https://minhpnq1807.atlassian.net/browse/LCSP-61,https://github.com/khovan123/LCSP/blob/main/docs/implementation/tasks/modules/assessment/03-list-assessments-endpoint.md
nhibao08,Rotating contributor across all modules,false,LCSP-62,MW-aud-001,List Audit Events Endpoint,audit,nestjs-api,8.6,P1,READY_FOR_DEV,https://minhpnq1807.atlassian.net/browse/LCSP-62,https://github.com/khovan123/LCSP/blob/main/docs/implementation/tasks/modules/audit/01-list-audit-events-endpoint.md
nhibao08,Rotating contributor across all modules,false,LCSP-63,MW-aud-002,Export Audit Trail Endpoint,audit,nestjs-api,8.7,P1,READY_FOR_DEV,https://minhpnq1807.atlassian.net/browse/LCSP-63,https://github.com/khovan123/LCSP/blob/main/docs/implementation/tasks/modules/audit/02-export-audit-trail-endpoint.md
Nta1210,Rotating contributor across all modules,false,LCSP-64,MW-auth-001,Sign-In Endpoint,auth-workspace,nestjs-api,1.1,P0,DONE,https://minhpnq1807.atlassian.net/browse/LCSP-64,https://github.com/khovan123/LCSP/blob/main/docs/implementation/tasks/modules/auth-workspace/01-sign-in-endpoint.md
Nta1210,Rotating contributor across all modules,false,LCSP-65,MW-auth-002,Register via Approved Path Endpoint,auth-workspace,nestjs-api,1.1,P0,DONE,https://minhpnq1807.atlassian.net/browse/LCSP-65,https://github.com/khovan123/LCSP/blob/main/docs/implementation/tasks/modules/auth-workspace/02-register-approved-path-endpoint.md
Nta1210,Rotating contributor across all modules,false,LCSP-66,MW-auth-003,MFA Enroll Endpoint,auth-workspace,nestjs-api,1.2,P0,DONE,https://minhpnq1807.atlassian.net/browse/LCSP-66,https://github.com/khovan123/LCSP/blob/main/docs/implementation/tasks/modules/auth-workspace/03-mfa-enroll-endpoint.md
DthuyInk,Rotating contributor across all modules,false,LCSP-67,MW-auth-004,MFA Verify OTP Endpoint,auth-workspace,nestjs-api,1.2,P0,DONE,https://minhpnq1807.atlassian.net/browse/LCSP-67,https://github.com/khovan123/LCSP/blob/main/docs/implementation/tasks/modules/auth-workspace/04-mfa-verify-otp-endpoint.md
