Sprint,Jira Key,Issue Type,Task ID,Summary,Assignee,Story,Start Date,Due Date,Story Points,Priority,Local Priority,Main Flow,Status,URL
LCSP Sprint 1,LCSP-26,Story,,Story 1.1: Approved Account Entry and Workspace Access,,1.1,2026-07-04,2026-07-06,13,Highest,,,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-26
LCSP Sprint 1,LCSP-27,Story,,"Story 1.2: MFA, Session, Recovery, and Profile Safety",,1.2,2026-07-04,2026-07-06,13,High,,,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-27
LCSP Sprint 1,LCSP-28,Story,,Story 1.3: OAuth/OIDC Login Without Repository Authorization,,1.3,2026-07-04,2026-07-06,5,High,,,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-28
LCSP Sprint 1,LCSP-29,Story,,Story 1.4: Organization Membership and Manager Policy Scope,,1.4,2026-07-04,2026-07-06,5,High,,,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-29
LCSP Sprint 1,LCSP-30,Story,,Story 1.5: Optional Developer Invitation and Scoped Task Acceptance,,1.5,2026-07-05,2026-07-07,8,High,,,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-30
LCSP Sprint 1,LCSP-31,Story,,Story 1.6: Manager-Only Action Enforcement,,1.6,2026-07-05,2026-07-07,13,Highest,,,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-31
LCSP Sprint 1,LCSP-32,Story,,Story 1.7: PBAC Policy Runtime and Deny-on-Failure Contract,,1.7,2026-07-05,2026-07-07,2,Highest,,,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-32
LCSP Sprint 1,LCSP-33,Story,,"Story 1.8: Foundational Audit, Outbox, and Event Contract",,1.8,2026-07-05,2026-07-07,8,Highest,,,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-33
LCSP Sprint 1,LCSP-34,Story,,Story 2.1: Create Manager-Owned Assessment,,2.1,2026-07-06,2026-07-08,13,Highest,,,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-34
LCSP Sprint 1,LCSP-35,Story,,Story 2.2: Complete WizardProfile in Business Language,,2.2,2026-07-06,2026-07-08,8,High,,,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-35
LCSP Sprint 1,LCSP-36,Story,,Story 2.3: Wizard-Only Readiness Without Risk Level,,2.3,2026-07-06,2026-07-08,5,Highest,,,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-36
LCSP Sprint 1,LCSP-37,Story,,Story 2.4: Wizard Readiness Export,,2.4,2026-07-06,2026-07-08,1,Medium,,,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-37
LCSP Sprint 1,LCSP-64,Task,MW-auth-001,MW-auth-001: Sign-In Endpoint,Nta1210,1.1,2026-07-07,2026-07-09,1,Low,P0,false,DONE,https://minhpnq1807.atlassian.net/browse/LCSP-64
LCSP Sprint 1,LCSP-65,Task,MW-auth-002,MW-auth-002: Register via Approved Path Endpoint,Nta1210,1.1,2026-07-07,2026-07-09,1,Low,P0,false,DONE,https://minhpnq1807.atlassian.net/browse/LCSP-65
LCSP Sprint 1,LCSP-91,Task,MW-cfg-001,MW-cfg-001: Config Loader — NestJS ConfigModule Bootstrap,Khovan,1.1,2026-07-07,2026-07-09,3,Highest,P0,true,READY_FOR_DEV,https://minhpnq1807.atlassian.net/browse/LCSP-91
LCSP Sprint 1,LCSP-106,Task,MW-pyp-001,MW-pyp-001: Python Worker Platform Bootstrap,Nta1210,1.1,2026-07-08,2026-07-10,2,High,P0,false,READY_FOR_DEV,https://minhpnq1807.atlassian.net/browse/LCSP-106
LCSP Sprint 1,LCSP-107,Task,MW-pyp-002,MW-pyp-002: Worker API Callback Client,Nta1210,1.1,2026-07-08,2026-07-10,2,High,P0,false,READY_FOR_DEV,https://minhpnq1807.atlassian.net/browse/LCSP-107
LCSP Sprint 1,LCSP-108,Task,MW-pyp-003,MW-pyp-003: Worker Secret Redaction Utility,Nta1210,1.1,2026-07-08,2026-07-10,2,High,P0,false,READY_FOR_DEV,https://minhpnq1807.atlassian.net/browse/LCSP-108
LCSP Sprint 1,LCSP-109,Task,MW-pyp-004,MW-pyp-004: Worker Health Check HTTP Server,DthuyInk,1.1,2026-07-08,2026-07-10,1,Medium,P1,false,READY_FOR_DEV,https://minhpnq1807.atlassian.net/browse/LCSP-109
LCSP Sprint 1,LCSP-128,Task,MW-qa-001,MW-qa-001: Auth Integration Test Suite,nhibao08,1.1,2026-07-09,2026-07-11,2,High,P0,false,READY_FOR_DEV,https://minhpnq1807.atlassian.net/browse/LCSP-128
LCSP Sprint 1,LCSP-66,Task,MW-auth-003,MW-auth-003: MFA Enroll Endpoint,Nta1210,1.2,2026-07-09,2026-07-11,1,Low,P0,false,DONE,https://minhpnq1807.atlassian.net/browse/LCSP-66
LCSP Sprint 1,LCSP-67,Task,MW-auth-004,MW-auth-004: MFA Verify OTP Endpoint,DthuyInk,1.2,2026-07-09,2026-07-11,1,Low,P0,false,DONE,https://minhpnq1807.atlassian.net/browse/LCSP-67
LCSP Sprint 1,LCSP-68,Task,MW-auth-005,MW-auth-005: Session Revoke Endpoint,DthuyInk,1.2,2026-07-09,2026-07-11,1,Low,P0,false,DONE,https://minhpnq1807.atlassian.net/browse/LCSP-68
LCSP Sprint 1,LCSP-70,Task,MW-auth-007,MW-auth-007: Update Profile Endpoint,anhtunguyen05,1.2,2026-07-10,2026-07-12,1,Low,P0,false,DONE,https://minhpnq1807.atlassian.net/browse/LCSP-70
LCSP Sprint 1,LCSP-138,Task,MW-web-001,MW-web-001: Sign-In Page,nhibao08,1.2,2026-07-10,2026-07-12,2,High,P0,false,READY_FOR_DEV,https://minhpnq1807.atlassian.net/browse/LCSP-138
LCSP Sprint 1,LCSP-71,Task,MW-auth-008,MW-auth-008: OAuth/OIDC Start Endpoint,anhtunguyen05,1.3,2026-07-10,2026-07-12,2,High,P0,false,READY_FOR_DEV,https://minhpnq1807.atlassian.net/browse/LCSP-71
LCSP Sprint 1,LCSP-72,Task,MW-auth-009,MW-auth-009: OAuth/OIDC Callback Endpoint,anhtunguyen05,1.3,2026-07-11,2026-07-13,2,High,P0,false,READY_FOR_DEV,https://minhpnq1807.atlassian.net/browse/LCSP-72
LCSP Sprint 1,LCSP-69,Task,MW-auth-006,MW-auth-006: Get Workspace Endpoint,DthuyInk,1.4,2026-07-11,2026-07-13,1,Low,P0,false,DONE,https://minhpnq1807.atlassian.net/browse/LCSP-69
LCSP Sprint 1,LCSP-139,Task,MW-web-002,MW-web-002: Workspace Dashboard Page,nhibao08,1.4,2026-07-11,2026-07-13,2,High,P0,false,READY_FOR_DEV,https://minhpnq1807.atlassian.net/browse/LCSP-139
LCSP Sprint 1,LCSP-73,Task,MW-auth-010,MW-auth-010: Invite Developer Endpoint,nhibao08,1.5,2026-07-11,2026-07-13,2,High,P0,false,READY_FOR_DEV,https://minhpnq1807.atlassian.net/browse/LCSP-73
LCSP Sprint 1,LCSP-74,Task,MW-auth-011,MW-auth-011: Accept Developer Invitation Endpoint,nhibao08,1.5,2026-07-12,2026-07-14,2,High,P0,false,READY_FOR_DEV,https://minhpnq1807.atlassian.net/browse/LCSP-74
LCSP Sprint 1,LCSP-75,Task,MW-auth-012,MW-auth-012: Revoke Developer Membership Endpoint,nhibao08,1.5,2026-07-12,2026-07-14,2,High,P0,false,READY_FOR_DEV,https://minhpnq1807.atlassian.net/browse/LCSP-75
LCSP Sprint 1,LCSP-76,Task,MW-auth-013,MW-auth-013: PBAC Guard — NestJS Integration,Nta1210,1.6,2026-07-12,2026-07-14,2,High,P0,false,READY_FOR_DEV,https://minhpnq1807.atlassian.net/browse/LCSP-76
LCSP Sprint 1,LCSP-95,Task,MW-pbac-001,MW-pbac-001: PBAC Policy Model — Prisma Schema + Types,Khovan,1.6,2026-07-12,2026-07-14,3,Highest,P0,true,READY_FOR_DEV,https://minhpnq1807.atlassian.net/browse/LCSP-95
LCSP Sprint 1,LCSP-96,Task,MW-pbac-002,MW-pbac-002: PBAC Evaluator Service,Khovan,1.6,2026-07-13,2026-07-15,3,Highest,P0,true,READY_FOR_DEV,https://minhpnq1807.atlassian.net/browse/LCSP-96
LCSP Sprint 1,LCSP-97,Task,MW-pbac-003,MW-pbac-003: PBAC NestJS Guard,Khovan,1.6,2026-07-13,2026-07-15,3,Highest,P0,true,READY_FOR_DEV,https://minhpnq1807.atlassian.net/browse/LCSP-97
LCSP Sprint 1,LCSP-98,Task,MW-pbac-004,MW-pbac-004: PBAC Worker Preflight — Python Worker Authorization Check,Khovan,1.7,2026-07-13,2026-07-15,2,High,P1,true,READY_FOR_DEV,https://minhpnq1807.atlassian.net/browse/LCSP-98
LCSP Sprint 1,LCSP-77,Task,MW-auth-014,MW-auth-014: Audit Event Writer — Auth Workspace Integration,Nta1210,1.8,2026-07-13,2026-07-15,2,High,P0,false,READY_FOR_DEV,https://minhpnq1807.atlassian.net/browse/LCSP-77
LCSP Sprint 1,LCSP-89,Task,MW-audit-001,MW-audit-001: Audit Event Schema — Prisma + Domain Types,Khovan,1.8,2026-07-14,2026-07-16,3,Highest,P0,true,READY_FOR_DEV,https://minhpnq1807.atlassian.net/browse/LCSP-89
LCSP Sprint 1,LCSP-90,Task,MW-audit-002,MW-audit-002: Audit Writer Service,Khovan,1.8,2026-07-14,2026-07-16,3,Highest,P0,true,READY_FOR_DEV,https://minhpnq1807.atlassian.net/browse/LCSP-90
LCSP Sprint 1,LCSP-59,Task,MW-asmt-001,MW-asmt-001: Create Assessment Endpoint,Khovan,2.1,2026-07-14,2026-07-16,3,Highest,P0,true,READY_FOR_DEV,https://minhpnq1807.atlassian.net/browse/LCSP-59
LCSP Sprint 1,LCSP-61,Task,MW-asmt-003,MW-asmt-003: List Assessments Endpoint,Khovan,2.1,2026-07-15,2026-07-17,3,Highest,P0,true,READY_FOR_DEV,https://minhpnq1807.atlassian.net/browse/LCSP-61
LCSP Sprint 1,LCSP-92,Task,MW-outbox-001,MW-outbox-001: Outbox Model — Prisma Schema,Khovan,2.1,2026-07-15,2026-07-17,3,Highest,P0,true,READY_FOR_DEV,https://minhpnq1807.atlassian.net/browse/LCSP-92
