Key,Issue Type,Summary,Status,Parent,Labels,Sprint,Start Date,Due Date,Story Points,Priority,URL
LCSP-1,Epic,Module: ai-usage-flow,Backlog,,bmad;lcsp;module,,2026-08-03,2026-08-17,8,Highest,https://minhpnq1807.atlassian.net/browse/LCSP-1
LCSP-2,Task,MW-aiuf-001: AIUsageFlow Callback Endpoint,Backlog,LCSP-1,ai-usage-flow;bmad;lcsp;module-task,LCSP Sprint 3,2026-08-10,2026-08-11,3,Highest,https://minhpnq1807.atlassian.net/browse/LCSP-2
LCSP-3,Epic,Module: assessment,Backlog,,bmad;lcsp;module;module-assessment,,2026-07-04,2026-07-22,8,Highest,https://minhpnq1807.atlassian.net/browse/LCSP-3
LCSP-4,Epic,Module: audit,Backlog,,bmad;lcsp;module;module-audit,,2026-07-23,2026-09-16,8,Medium,https://minhpnq1807.atlassian.net/browse/LCSP-4
LCSP-5,Epic,Module: auth-workspace,Backlog,,bmad;lcsp;module;module-auth-workspace,,2026-07-04,2026-07-29,13,High,https://minhpnq1807.atlassian.net/browse/LCSP-5
LCSP-6,Epic,Module: classification,Backlog,,bmad;lcsp;module;module-classification,,2026-08-17,2026-09-01,8,Highest,https://minhpnq1807.atlassian.net/browse/LCSP-6
LCSP-7,Epic,Module: document,Backlog,,bmad;lcsp;module;module-document,,2026-08-17,2026-09-16,8,Highest,https://minhpnq1807.atlassian.net/browse/LCSP-7
LCSP-8,Epic,Module: evidence,Backlog,,bmad;lcsp;module;module-evidence,,2026-07-19,2026-08-12,8,Highest,https://minhpnq1807.atlassian.net/browse/LCSP-8
LCSP-9,Epic,Module: github-integration,Backlog,,bmad;lcsp;module;module-github-integration,,2026-07-19,2026-08-06,13,Highest,https://minhpnq1807.atlassian.net/browse/LCSP-9
LCSP-10,Epic,Module: platform/audit-writer,Backlog,,bmad;lcsp;module;module-platform-audit-writer,,2026-07-04,2026-07-18,8,Highest,https://minhpnq1807.atlassian.net/browse/LCSP-10
LCSP-11,Epic,Module: platform/config,Backlog,,bmad;lcsp;module;module-platform-config,,2026-07-04,2026-07-18,8,Highest,https://minhpnq1807.atlassian.net/browse/LCSP-11
LCSP-12,Epic,Module: platform/outbox,Backlog,,bmad;lcsp;module;module-platform-outbox,,2026-07-04,2026-07-18,8,Highest,https://minhpnq1807.atlassian.net/browse/LCSP-12
LCSP-13,Epic,Module: platform/pbac,Backlog,,bmad;lcsp;module;module-platform-pbac,,2026-07-04,2026-07-18,13,Highest,https://minhpnq1807.atlassian.net/browse/LCSP-13
LCSP-14,Epic,Module: python-workers/classification,Backlog,,bmad;lcsp;module;module-python-workers-classification,,2026-08-03,2026-09-01,8,High,https://minhpnq1807.atlassian.net/browse/LCSP-14
LCSP-15,Epic,Module: python-workers/intelligence,Backlog,,bmad;lcsp;module;module-python-workers-intelligence,,2026-07-19,2026-08-17,13,High,https://minhpnq1807.atlassian.net/browse/LCSP-15
LCSP-16,Epic,Module: python-workers/legal,Backlog,,bmad;lcsp;module;module-python-workers-legal,,2026-08-07,2026-09-01,8,High,https://minhpnq1807.atlassian.net/browse/LCSP-16
LCSP-17,Epic,Module: python-workers/llm,Backlog,,bmad;lcsp;module;module-python-workers-llm,,2026-07-15,2026-08-17,8,High,https://minhpnq1807.atlassian.net/browse/LCSP-17
LCSP-18,Epic,Module: python-workers/platform,Backlog,,bmad;lcsp;module;module-python-workers-platform,,2026-07-04,2026-07-18,13,High,https://minhpnq1807.atlassian.net/browse/LCSP-18
LCSP-19,Epic,Module: python-workers/reporting,Backlog,,bmad;lcsp;module;module-python-workers-reporting,,2026-07-13,2026-09-16,8,Medium,https://minhpnq1807.atlassian.net/browse/LCSP-19
LCSP-20,Epic,Module: python-workers/scanner,Backlog,,bmad;lcsp;module;module-python-workers-scanner,,2026-07-13,2026-08-06,13,High,https://minhpnq1807.atlassian.net/browse/LCSP-20
