Issue Type,Summary,Description,Status,Assignee,Owner Hint,Priority,Story Points,Epic Link,Epic Ref,Labels,Runtime,Domain,Deliverable,Reference,Artifact Path,Dependency,External Dependency,Start date,Due date,Target Window,Block Reason,Story Ref
Story,Story 1.1: Approved Account Entry and Workspace Access,Implementation story 1.1; generated from module-scoped task frontmatter in https://github.com/khovan123/LCSP/tree/main/docs/implementation/tasks/modules.,Ready for Dev,,,,,,Epic 1 - Authentication and Access Control,,,,,https://github.com/khovan123/LCSP/tree/main/apps/api/src/modules; https://github.com/khovan123/LCSP/tree/main/packages/contracts/src/shared,,,,,,,,1.1
Story,"Story 1.2: MFA, Session, Recovery, and Profile Safety",Implementation story 1.2; generated from module-scoped task frontmatter in https://github.com/khovan123/LCSP/tree/main/docs/implementation/tasks/modules.,Ready for Dev,,,,,,Epic 1 - Authentication and Access Control,,,,,https://github.com/khovan123/LCSP/tree/main/apps/api/src/modules; https://github.com/khovan123/LCSP/tree/main/packages/contracts/src/shared,,,,,,,,1.2
Story,Story 1.3: OAuth/OIDC Login Without Repository Authorization,Implementation story 1.3; generated from module-scoped task frontmatter in https://github.com/khovan123/LCSP/tree/main/docs/implementation/tasks/modules.,Ready for Dev,,,,,,Epic 1 - Authentication and Access Control,,,,,https://github.com/khovan123/LCSP/tree/main/apps/api/src/modules; https://github.com/khovan123/LCSP/tree/main/packages/contracts/src/shared,,,,,,,,1.3
Story,Story 1.4: Organization Membership and Manager Policy Scope,Implementation story 1.4; generated from module-scoped task frontmatter in https://github.com/khovan123/LCSP/tree/main/docs/implementation/tasks/modules.,Ready for Dev,,,,,,Epic 1 - Authentication and Access Control,,,,,https://github.com/khovan123/LCSP/tree/main/apps/api/src/modules; https://github.com/khovan123/LCSP/tree/main/packages/contracts/src/shared,,,,,,,,1.4
Story,Story 1.5: Optional Developer Invitation and Scoped Task Acceptance,Implementation story 1.5; generated from module-scoped task frontmatter in https://github.com/khovan123/LCSP/tree/main/docs/implementation/tasks/modules.,Ready for Dev,,,,,,Epic 1 - Authentication and Access Control,,,,,https://github.com/khovan123/LCSP/tree/main/apps/api/src/modules; https://github.com/khovan123/LCSP/tree/main/packages/contracts/src/shared,,,,,,,,1.5
Story,Story 1.6: Manager-Only Action Enforcement,Implementation story 1.6; generated from module-scoped task frontmatter in https://github.com/khovan123/LCSP/tree/main/docs/implementation/tasks/modules.,Ready for Dev,,,,,,Epic 1 - Authentication and Access Control,,,,,https://github.com/khovan123/LCSP/tree/main/apps/api/src/modules; https://github.com/khovan123/LCSP/tree/main/packages/contracts/src/shared,,,,,,,,1.6
Story,Story 1.7: RBAC Policy Runtime and Deny-on-Failure Contract,Implementation story 1.7; generated from module-scoped task frontmatter in https://github.com/khovan123/LCSP/tree/main/docs/implementation/tasks/modules.,Ready for Dev,,,,,,Epic 1 - Authentication and Access Control,,,,,https://github.com/khovan123/LCSP/tree/main/apps/api/src/modules; https://github.com/khovan123/LCSP/tree/main/packages/contracts/src/shared,,,,,,,,1.7
Story,"Story 1.8: Foundational Audit, Outbox, and Event Contract",Implementation story 1.8; generated from module-scoped task frontmatter in https://github.com/khovan123/LCSP/tree/main/docs/implementation/tasks/modules.,Ready for Dev,,,,,,Epic 1 - Authentication and Access Control,,,,,https://github.com/khovan123/LCSP/tree/main/apps/api/src/modules; https://github.com/khovan123/LCSP/tree/main/packages/contracts/src/shared,,,,,,,,1.8
Story,Story 2.1: Create Manager-Owned Assessment,Implementation story 2.1; generated from module-scoped task frontmatter in https://github.com/khovan123/LCSP/tree/main/docs/implementation/tasks/modules.,Ready for Dev,,,,,,Epic 2 - Assessment and Interview,,,,,https://github.com/khovan123/LCSP/tree/main/apps/api/src/modules; https://github.com/khovan123/LCSP/tree/main/packages/contracts/src/shared,,,,,,,,2.1
Story,Story 2.2: Complete WizardProfile in Business Language,Implementation story 2.2; generated from module-scoped task frontmatter in https://github.com/khovan123/LCSP/tree/main/docs/implementation/tasks/modules.,Ready for Dev,,,,,,Epic 2 - Assessment and Interview,,,,,https://github.com/khovan123/LCSP/tree/main/apps/api/src/modules; https://github.com/khovan123/LCSP/tree/main/packages/contracts/src/shared,,,,,,,,2.2
