Sprint,Sequence,Theme,Start,End,Jira Key,Issue Type,Task ID,Summary,Assignee,Main Flow,Story,Priority,Status,URL
LCSP Sprint 1,1,"Foundation, auth, assessment, wizard entry",2026-07-04T22:45:00+07:00,2026-07-18T23:59:59+07:00,LCSP-26,Story,,Story 1.1: Approved Account Entry and Workspace Access,,,1.1,,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-26
LCSP Sprint 1,1,"Foundation, auth, assessment, wizard entry",2026-07-04T22:45:00+07:00,2026-07-18T23:59:59+07:00,LCSP-27,Story,,"Story 1.2: MFA, Session, Recovery, and Profile Safety",,,1.2,,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-27
LCSP Sprint 1,1,"Foundation, auth, assessment, wizard entry",2026-07-04T22:45:00+07:00,2026-07-18T23:59:59+07:00,LCSP-28,Story,,Story 1.3: OAuth/OIDC Login Without Repository Authorization,,,1.3,,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-28
LCSP Sprint 1,1,"Foundation, auth, assessment, wizard entry",2026-07-04T22:45:00+07:00,2026-07-18T23:59:59+07:00,LCSP-29,Story,,Story 1.4: Organization Membership and Manager Policy Scope,,,1.4,,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-29
LCSP Sprint 1,1,"Foundation, auth, assessment, wizard entry",2026-07-04T22:45:00+07:00,2026-07-18T23:59:59+07:00,LCSP-30,Story,,Story 1.5: Optional Developer Invitation and Scoped Task Acceptance,,,1.5,,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-30
LCSP Sprint 1,1,"Foundation, auth, assessment, wizard entry",2026-07-04T22:45:00+07:00,2026-07-18T23:59:59+07:00,LCSP-31,Story,,Story 1.6: Manager-Only Action Enforcement,,,1.6,,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-31
LCSP Sprint 1,1,"Foundation, auth, assessment, wizard entry",2026-07-04T22:45:00+07:00,2026-07-18T23:59:59+07:00,LCSP-32,Story,,Story 1.7: RBAC Policy Runtime and Deny-on-Failure Contract,,,1.7,,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-32
LCSP Sprint 1,1,"Foundation, auth, assessment, wizard entry",2026-07-04T22:45:00+07:00,2026-07-18T23:59:59+07:00,LCSP-33,Story,,"Story 1.8: Foundational Audit, Outbox, and Event Contract",,,1.8,,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-33
LCSP Sprint 1,1,"Foundation, auth, assessment, wizard entry",2026-07-04T22:45:00+07:00,2026-07-18T23:59:59+07:00,LCSP-34,Story,,Story 2.1: Create Manager-Owned Assessment,,,2.1,,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-34
LCSP Sprint 1,1,"Foundation, auth, assessment, wizard entry",2026-07-04T22:45:00+07:00,2026-07-18T23:59:59+07:00,LCSP-35,Story,,Story 2.2: Complete WizardProfile in Business Language,,,2.2,,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-35
LCSP Sprint 1,1,"Foundation, auth, assessment, wizard entry",2026-07-04T22:45:00+07:00,2026-07-18T23:59:59+07:00,LCSP-36,Story,,Story 2.3: Wizard-Only Readiness Without Risk Level,,,2.3,,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-36
LCSP Sprint 1,1,"Foundation, auth, assessment, wizard entry",2026-07-04T22:45:00+07:00,2026-07-18T23:59:59+07:00,LCSP-37,Story,,Story 2.4: Wizard Readiness Export,,,2.4,,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-37
LCSP Sprint 1,1,"Foundation, auth, assessment, wizard entry",2026-07-04T22:45:00+07:00,2026-07-18T23:59:59+07:00,LCSP-59,Task,MW-asmt-001,MW-asmt-001: Create Assessment Endpoint,Khovan,true,2.1,P0,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-59
LCSP Sprint 1,1,"Foundation, auth, assessment, wizard entry",2026-07-04T22:45:00+07:00,2026-07-18T23:59:59+07:00,LCSP-60,Task,MW-asmt-002,MW-asmt-002: Get Assessment Endpoint,Khovan,true,2.3,P0,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-60
LCSP Sprint 1,1,"Foundation, auth, assessment, wizard entry",2026-07-04T22:45:00+07:00,2026-07-18T23:59:59+07:00,LCSP-61,Task,MW-asmt-003,MW-asmt-003: List Assessments Endpoint,Khovan,true,2.1,P0,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-61
LCSP Sprint 1,1,"Foundation, auth, assessment, wizard entry",2026-07-04T22:45:00+07:00,2026-07-18T23:59:59+07:00,LCSP-64,Task,MW-auth-001,MW-auth-001: Sign-In Endpoint,Nta1210,false,1.1,P0,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-64
LCSP Sprint 1,1,"Foundation, auth, assessment, wizard entry",2026-07-04T22:45:00+07:00,2026-07-18T23:59:59+07:00,LCSP-65,Task,MW-auth-002,MW-auth-002: Register via Approved Path Endpoint,Nta1210,false,1.1,P0,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-65
LCSP Sprint 1,1,"Foundation, auth, assessment, wizard entry",2026-07-04T22:45:00+07:00,2026-07-18T23:59:59+07:00,LCSP-66,Task,MW-auth-003,MW-auth-003: MFA Enroll Endpoint,Nta1210,false,1.2,P0,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-66
LCSP Sprint 1,1,"Foundation, auth, assessment, wizard entry",2026-07-04T22:45:00+07:00,2026-07-18T23:59:59+07:00,LCSP-67,Task,MW-auth-004,MW-auth-004: MFA Verify OTP Endpoint,DthuyInk,false,1.2,P0,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-67
LCSP Sprint 1,1,"Foundation, auth, assessment, wizard entry",2026-07-04T22:45:00+07:00,2026-07-18T23:59:59+07:00,LCSP-68,Task,MW-auth-005,MW-auth-005: Session Revoke Endpoint,DthuyInk,false,1.2,P0,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-68
LCSP Sprint 1,1,"Foundation, auth, assessment, wizard entry",2026-07-04T22:45:00+07:00,2026-07-18T23:59:59+07:00,LCSP-69,Task,MW-auth-006,MW-auth-006: Get Workspace Endpoint,DthuyInk,false,1.4,P0,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-69
LCSP Sprint 1,1,"Foundation, auth, assessment, wizard entry",2026-07-04T22:45:00+07:00,2026-07-18T23:59:59+07:00,LCSP-70,Task,MW-auth-007,MW-auth-007: Update Profile Endpoint,anhtunguyen05,false,1.2,P0,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-70
LCSP Sprint 1,1,"Foundation, auth, assessment, wizard entry",2026-07-04T22:45:00+07:00,2026-07-18T23:59:59+07:00,LCSP-71,Task,MW-auth-008,MW-auth-008: OAuth/OIDC Start Endpoint,anhtunguyen05,false,1.3,P0,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-71
LCSP Sprint 1,1,"Foundation, auth, assessment, wizard entry",2026-07-04T22:45:00+07:00,2026-07-18T23:59:59+07:00,LCSP-72,Task,MW-auth-009,MW-auth-009: OAuth/OIDC Callback Endpoint,anhtunguyen05,false,1.3,P0,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-72
