Issue Type,Summary,Description,Status,Assignee,Owner Hint,Priority,Story Points,Epic Link,Epic Ref,Labels,Runtime,Domain,Deliverable,Reference,Artifact Path,Dependency,External Dependency,Start date,Due date,Target Window,Block Reason,Task Code,Module
Task,E1-S11-F1 Story 1.1: Approved Account Entry and Workspace Access,"Story 1.1: Approved Account Entry and Workspace Access. Feature task under Epic 1 - Authentication and Access Control, anchored to Story 1.1. This task is one implementation slice of the story acceptance criteria and should be completed independently with its own verification evidence.",Ready for Dev,,L,High,3,,Epic 1 - Authentication and Access Control,"task,feature,story-slice,module-e1,auth",cross-runtime,auth,Story 1.1: Approved Account Entry and Workspace Access,https://github.com/khovan123/LCSP/tree/main/apps/api/src/modules; https://github.com/khovan123/LCSP/tree/main/packages/contracts/src/shared,,,,,,,,E1-S11-F1,Epic 1 - Authentication and Access Control
Task,"E1-S12-F1 Story 1.2: MFA, Session, Recovery, and Profile Safety","Story 1.2: MFA, Session, Recovery, and Profile Safety. Feature task under Epic 1 - Authentication and Access Control, anchored to Story 1.2. This task is one implementation slice of the story acceptance criteria and should be completed independently with its own verification evidence.",Ready for Dev,,A,High,3,,Epic 1 - Authentication and Access Control,"task,feature,story-slice,module-e1,auth",cross-runtime,auth,"Story 1.2: MFA, Session, Recovery, and Profile Safety",https://github.com/khovan123/LCSP/tree/main/apps/api/src/modules; https://github.com/khovan123/LCSP/tree/main/packages/contracts/src/shared,,,,,,,,E1-S12-F1,Epic 1 - Authentication and Access Control
Task,E1-S13-F1 Story 1.3: OAuth/OIDC Login Without Repository Authorization,"Story 1.3: OAuth/OIDC Login Without Repository Authorization. Feature task under Epic 1 - Authentication and Access Control, anchored to Story 1.3. This task is one implementation slice of the story acceptance criteria and should be completed independently with its own verification evidence.",Ready for Dev,,L,High,3,,Epic 1 - Authentication and Access Control,"task,feature,story-slice,module-e1,auth",cross-runtime,auth,Story 1.3: OAuth/OIDC Login Without Repository Authorization,https://github.com/khovan123/LCSP/tree/main/apps/api/src/modules; https://github.com/khovan123/LCSP/tree/main/packages/contracts/src/shared,,,,,,,,E1-S13-F1,Epic 1 - Authentication and Access Control
Task,E1-S14-F1 Story 1.4: Organization Membership and Manager Policy Scope,"Story 1.4: Organization Membership and Manager Policy Scope. Feature task under Epic 1 - Authentication and Access Control, anchored to Story 1.4. This task is one implementation slice of the story acceptance criteria and should be completed independently with its own verification evidence.",Ready for Dev,,C,High,3,,Epic 1 - Authentication and Access Control,"task,feature,story-slice,module-e1,auth",cross-runtime,auth,Story 1.4: Organization Membership and Manager Policy Scope,https://github.com/khovan123/LCSP/tree/main/apps/api/src/modules; https://github.com/khovan123/LCSP/tree/main/packages/contracts/src/shared,,,,,,,,E1-S14-F1,Epic 1 - Authentication and Access Control
Task,E1-S15-F1 Story 1.5: Optional Developer Invitation and Scoped Task Acceptance,"Story 1.5: Optional Developer Invitation and Scoped Task Acceptance. Feature task under Epic 1 - Authentication and Access Control, anchored to Story 1.5. This task is one implementation slice of the story acceptance criteria and should be completed independently with its own verification evidence.",Ready for Dev,,,Medium,3,,Epic 1 - Authentication and Access Control,"task,feature,story-slice,module-e1,auth",auth,auth,Story 1.5: Optional Developer Invitation and Scoped Task Acceptance,https://github.com/khovan123/LCSP/tree/main/apps/api/src/modules; https://github.com/khovan123/LCSP/tree/main/packages/contracts/src/shared,,,,,,,,E1-S15-F1,Epic 1 - Authentication and Access Control
Task,E1-S16-F1 Story 1.6: Manager-Only Action Enforcement,"Story 1.6: Manager-Only Action Enforcement. Feature task under Epic 1 - Authentication and Access Control, anchored to Story 1.6. This task is one implementation slice of the story acceptance criteria and should be completed independently with its own verification evidence.",Ready for Dev,,C,High,3,,Epic 1 - Authentication and Access Control,"task,feature,story-slice,module-e1,auth",cross-runtime,auth,Story 1.6: Manager-Only Action Enforcement,https://github.com/khovan123/LCSP/tree/main/apps/api/src/modules; https://github.com/khovan123/LCSP/tree/main/packages/contracts/src/shared,,,,,,,,E1-S16-F1,Epic 1 - Authentication and Access Control
Task,E1-S17-F1 Story 1.7: RBAC Policy Runtime and Deny-on-Failure Contract,"Story 1.7: RBAC Policy Runtime and Deny-on-Failure Contract. Feature task under Epic 1 - Authentication and Access Control, anchored to Story 1.7. This task is one implementation slice of the story acceptance criteria and should be completed independently with its own verification evidence.",Ready for Dev,,C,High,3,,Epic 1 - Authentication and Access Control,"task,feature,story-slice,module-e1,auth",cross-runtime,auth,Story 1.7: RBAC Policy Runtime and Deny-on-Failure Contract,https://github.com/khovan123/LCSP/tree/main/apps/api/src/modules; https://github.com/khovan123/LCSP/tree/main/packages/contracts/src/shared,,,,,,,,E1-S17-F1,Epic 1 - Authentication and Access Control
Task,"E1-S18-F1 Story 1.8: Foundational Audit, Outbox, and Event Contract","Story 1.8: Foundational Audit, Outbox, and Event Contract. Feature task under Epic 1 - Authentication and Access Control, anchored to Story 1.8. This task is one implementation slice of the story acceptance criteria and should be completed independently with its own verification evidence.",Ready for Dev,,L,High,3,,Epic 1 - Authentication and Access Control,"task,feature,story-slice,module-e1,audit",cross-runtime,audit,"Story 1.8: Foundational Audit, Outbox, and Event Contract",https://github.com/khovan123/LCSP/tree/main/apps/api/src/modules; https://github.com/khovan123/LCSP/tree/main/packages/contracts/src/shared,,,,,,,,E1-S18-F1,Epic 1 - Authentication and Access Control
Task,E2-S21-F1 Story 2.1: Create Manager-Owned Assessment,"Story 2.1: Create Manager-Owned Assessment. Feature task under Epic 2 - Assessment and Interview, anchored to Story 2.1. This task is one implementation slice of the story acceptance criteria and should be completed independently with its own verification evidence.",Ready for Dev,,L,High,3,,Epic 2 - Assessment and Interview,"task,feature,story-slice,module-e2,assessment",cross-runtime,assessment,Story 2.1: Create Manager-Owned Assessment,https://github.com/khovan123/LCSP/tree/main/apps/api/src/modules; https://github.com/khovan123/LCSP/tree/main/packages/contracts/src/shared,,,,,,,,E2-S21-F1,Epic 2 - Assessment and Interview
Task,E2-S22-F1 Story 2.2: Complete WizardProfile in Business Language,"Story 2.2: Complete WizardProfile in Business Language. Feature task under Epic 2 - Assessment and Interview, anchored to Story 2.2. This task is one implementation slice of the story acceptance criteria and should be completed independently with its own verification evidence.",Ready for Dev,,C,High,3,,Epic 2 - Assessment and Interview,"task,feature,story-slice,module-e2,interview",cross-runtime,interview,Story 2.2: Complete WizardProfile in Business Language,https://github.com/khovan123/LCSP/tree/main/apps/api/src/modules; https://github.com/khovan123/LCSP/tree/main/packages/contracts/src/shared,,,,,,,,E2-S22-F1,Epic 2 - Assessment and Interview
