Issue Type,Summary,Description,Module,Task Count,P0 Count,P1 Count,Done Count,Ready Count,Catalog URL
Epic,Module: ai-usage-flow,LCSP module backlog generated from https://github.com/khovan123/LCSP/blob/main/docs/implementation/tasks/modules/README.md for ai-usage-flow.,ai-usage-flow,1,1,0,0,1,https://github.com/khovan123/LCSP/blob/main/docs/implementation/tasks/modules/README.md
Epic,Module: assessment,LCSP module backlog generated from https://github.com/khovan123/LCSP/blob/main/docs/implementation/tasks/modules/README.md for assessment.,assessment,3,3,0,0,3,https://github.com/khovan123/LCSP/blob/main/docs/implementation/tasks/modules/README.md
Epic,Module: audit,LCSP module backlog generated from https://github.com/khovan123/LCSP/blob/main/docs/implementation/tasks/modules/README.md for audit.,audit,2,0,2,0,2,https://github.com/khovan123/LCSP/blob/main/docs/implementation/tasks/modules/README.md
Epic,Module: auth-workspace,LCSP module backlog generated from https://github.com/khovan123/LCSP/blob/main/docs/implementation/tasks/modules/README.md for auth-workspace.,auth-workspace,14,14,0,7,7,https://github.com/khovan123/LCSP/blob/main/docs/implementation/tasks/modules/README.md
Epic,Module: classification,LCSP module backlog generated from https://github.com/khovan123/LCSP/blob/main/docs/implementation/tasks/modules/README.md for classification.,classification,2,2,0,0,2,https://github.com/khovan123/LCSP/blob/main/docs/implementation/tasks/modules/README.md
Epic,Module: document,LCSP module backlog generated from https://github.com/khovan123/LCSP/blob/main/docs/implementation/tasks/modules/README.md for document.,document,3,0,3,0,3,https://github.com/khovan123/LCSP/blob/main/docs/implementation/tasks/modules/README.md
Epic,Module: evidence,LCSP module backlog generated from https://github.com/khovan123/LCSP/blob/main/docs/implementation/tasks/modules/README.md for evidence.,evidence,2,2,0,0,2,https://github.com/khovan123/LCSP/blob/main/docs/implementation/tasks/modules/README.md
Epic,Module: github-integration,LCSP module backlog generated from https://github.com/khovan123/LCSP/blob/main/docs/implementation/tasks/modules/README.md for github-integration.,github-integration,4,4,0,0,4,https://github.com/khovan123/LCSP/blob/main/docs/implementation/tasks/modules/README.md
Epic,Module: platform/audit-writer,LCSP module backlog generated from https://github.com/khovan123/LCSP/blob/main/docs/implementation/tasks/modules/README.md for platform/audit-writer.,platform/audit-writer,2,2,0,0,2,https://github.com/khovan123/LCSP/blob/main/docs/implementation/tasks/modules/README.md
Epic,Module: platform/config,LCSP module backlog generated from https://github.com/khovan123/LCSP/blob/main/docs/implementation/tasks/modules/README.md for platform/config.,platform/config,1,1,0,0,1,https://github.com/khovan123/LCSP/blob/main/docs/implementation/tasks/modules/README.md
