Story Ref,Story Summary,Epic Code,Epic Name,Task Code,Task Summary,Owner,Point,Dependency,Target Window,Reference
1.1,Story 1.1: Approved Account Entry and Workspace Access,E1,Epic 1 - Authentication and Access Control,E1-S11-F1,Story 1.1: Approved Account Entry and Workspace Access,L,3,,,https://github.com/khovan123/LCSP/tree/main/apps/api/src/modules; https://github.com/khovan123/LCSP/tree/main/packages/contracts/src/shared
1.2,"Story 1.2: MFA, Session, Recovery, and Profile Safety",E1,Epic 1 - Authentication and Access Control,E1-S12-F1,"Story 1.2: MFA, Session, Recovery, and Profile Safety",A,3,,,https://github.com/khovan123/LCSP/tree/main/apps/api/src/modules; https://github.com/khovan123/LCSP/tree/main/packages/contracts/src/shared
1.3,Story 1.3: OAuth/OIDC Login Without Repository Authorization,E1,Epic 1 - Authentication and Access Control,E1-S13-F1,Story 1.3: OAuth/OIDC Login Without Repository Authorization,L,3,,,https://github.com/khovan123/LCSP/tree/main/apps/api/src/modules; https://github.com/khovan123/LCSP/tree/main/packages/contracts/src/shared
1.4,Story 1.4: Organization Membership and Manager Policy Scope,E1,Epic 1 - Authentication and Access Control,E1-S14-F1,Story 1.4: Organization Membership and Manager Policy Scope,C,3,,,https://github.com/khovan123/LCSP/tree/main/apps/api/src/modules; https://github.com/khovan123/LCSP/tree/main/packages/contracts/src/shared
1.5,Story 1.5: Optional Developer Invitation and Scoped Task Acceptance,E1,Epic 1 - Authentication and Access Control,E1-S15-F1,Story 1.5: Optional Developer Invitation and Scoped Task Acceptance,,3,,,https://github.com/khovan123/LCSP/tree/main/apps/api/src/modules; https://github.com/khovan123/LCSP/tree/main/packages/contracts/src/shared
1.6,Story 1.6: Manager-Only Action Enforcement,E1,Epic 1 - Authentication and Access Control,E1-S16-F1,Story 1.6: Manager-Only Action Enforcement,C,3,,,https://github.com/khovan123/LCSP/tree/main/apps/api/src/modules; https://github.com/khovan123/LCSP/tree/main/packages/contracts/src/shared
1.7,Story 1.7: RBAC Policy Runtime and Deny-on-Failure Contract,E1,Epic 1 - Authentication and Access Control,E1-S17-F1,Story 1.7: RBAC Policy Runtime and Deny-on-Failure Contract,C,3,,,https://github.com/khovan123/LCSP/tree/main/apps/api/src/modules; https://github.com/khovan123/LCSP/tree/main/packages/contracts/src/shared
1.8,"Story 1.8: Foundational Audit, Outbox, and Event Contract",E1,Epic 1 - Authentication and Access Control,E1-S18-F1,"Story 1.8: Foundational Audit, Outbox, and Event Contract",L,3,,,https://github.com/khovan123/LCSP/tree/main/apps/api/src/modules; https://github.com/khovan123/LCSP/tree/main/packages/contracts/src/shared
2.1,Story 2.1: Create Manager-Owned Assessment,E2,Epic 2 - Assessment and Interview,E2-S21-F1,Story 2.1: Create Manager-Owned Assessment,L,3,,,https://github.com/khovan123/LCSP/tree/main/apps/api/src/modules; https://github.com/khovan123/LCSP/tree/main/packages/contracts/src/shared
2.2,Story 2.2: Complete WizardProfile in Business Language,E2,Epic 2 - Assessment and Interview,E2-S22-F1,Story 2.2: Complete WizardProfile in Business Language,C,3,,,https://github.com/khovan123/LCSP/tree/main/apps/api/src/modules; https://github.com/khovan123/LCSP/tree/main/packages/contracts/src/shared
2.3,Story 2.3: Wizard-Only Readiness Without Risk Level,E2,Epic 2 - Assessment and Interview,E2-S23-F1,Story 2.3: Wizard-Only Readiness Without Risk Level,C,3,,,https://github.com/khovan123/LCSP/tree/main/apps/api/src/modules; https://github.com/khovan123/LCSP/tree/main/packages/contracts/src/shared
2.4,Story 2.4: Wizard Readiness Export,E2,Epic 2 - Assessment and Interview,E2-S24-F1,Story 2.4: Wizard Readiness Export,A,3,,,https://github.com/khovan123/LCSP/tree/main/apps/api/src/modules; https://github.com/khovan123/LCSP/tree/main/packages/contracts/src/shared
3.1,Story 3.1: Connect Read-Only GitHub Repository,E3,Epic 3 - Repository Scan and Technical Evidence,E3-S31-F1,Story 3.1: Connect Read-Only GitHub Repository,L,3,,,https://github.com/khovan123/LCSP/tree/main/apps/api/src/modules; https://github.com/khovan123/LCSP/tree/main/packages/contracts/src/shared
3.2,Story 3.2: Pin Commit and Create RepositorySnapshot,E3,Epic 3 - Repository Scan and Technical Evidence,E3-S32-F1,Story 3.2: Pin Commit and Create RepositorySnapshot,L,3,,,https://github.com/khovan123/LCSP/tree/main/apps/api/src/modules; https://github.com/khovan123/LCSP/tree/main/packages/contracts/src/shared
3.3,Story 3.3: Trusted Scan Trigger and Scan Job Orchestration,E3,Epic 3 - Repository Scan and Technical Evidence,E3-S33-F1,Story 3.3: Trusted Scan Trigger and Scan Job Orchestration,B,3,,,https://github.com/khovan123/LCSP/tree/main/apps/api/src/modules; https://github.com/khovan123/LCSP/tree/main/packages/contracts/src/shared
3.4,Story 3.4: Managed Repository Workspace and Sandbox,E3,Epic 3 - Repository Scan and Technical Evidence,E3-S34-F1,Story 3.4: Managed Repository Workspace and Sandbox,B,3,,,https://github.com/khovan123/LCSP/tree/main/apps/api/src/modules; https://github.com/khovan123/LCSP/tree/main/packages/contracts/src/shared
3.5,Story 3.5: Repository Deep Agent Evidence Analysis,E3,Epic 3 - Repository Scan and Technical Evidence,E3-S35-F1,Story 3.5: Repository Deep Agent Evidence Analysis,B,3,,,https://github.com/khovan123/LCSP/tree/main/apps/api/src/modules; https://github.com/khovan123/LCSP/tree/main/packages/contracts/src/shared
3.6,Story 3.6: Scan Failure Severity and Evidence Acceptance Policy,E3,Epic 3 - Repository Scan and Technical Evidence,E3-S36-F1,Story 3.6: Scan Failure Severity and Evidence Acceptance Policy,B,3,,,https://github.com/khovan123/LCSP/tree/main/apps/api/src/modules; https://github.com/khovan123/LCSP/tree/main/packages/contracts/src/shared
4.1,Story 4.1: Build AIUsageFlow From Wizard and Technical Evidence,E4,Epic 4 - AI Usage Analysis,E4-S41-F1,Story 4.1: Build AIUsageFlow From Wizard and Technical Evidence,C,3,,,https://github.com/khovan123/LCSP/tree/main/apps/api/src/modules; https://github.com/khovan123/LCSP/tree/main/packages/contracts/src/shared
4.2,Story 4.2: Preserve TechnicalProfile and AIUsageFlow Separation,E4,Epic 4 - AI Usage Analysis,E4-S42-F1,Story 4.2: Preserve TechnicalProfile and AIUsageFlow Separation,C,3,,,https://github.com/khovan123/LCSP/tree/main/apps/api/src/modules; https://github.com/khovan123/LCSP/tree/main/packages/contracts/src/shared
5.1,Story 5.1: Detect Material Profile Conflicts,E5,Epic 5 - Reconciliation and Verified Profile,E5-S51-F1,Story 5.1: Detect Material Profile Conflicts,C,3,,,https://github.com/khovan123/LCSP/tree/main/apps/api/src/modules; https://github.com/khovan123/LCSP/tree/main/packages/contracts/src/shared
5.2,Story 5.2: Explain Conflict Score and Evidence Basis,E5,Epic 5 - Reconciliation and Verified Profile,E5-S52-F1,Story 5.2: Explain Conflict Score and Evidence Basis,C,3,,,https://github.com/khovan123/LCSP/tree/main/apps/api/src/modules; https://github.com/khovan123/LCSP/tree/main/packages/contracts/src/shared
5.3,Story 5.3: Manager Conflict Resolution,E5,Epic 5 - Reconciliation and Verified Profile,E5-S53-F1,Story 5.3: Manager Conflict Resolution,A,3,,,https://github.com/khovan123/LCSP/tree/main/apps/api/src/modules; https://github.com/khovan123/LCSP/tree/main/packages/contracts/src/shared
5.4,Story 5.4: Preserve Scanner Evidence During Resolution,E5,Epic 5 - Reconciliation and Verified Profile,E5-S54-F1,Story 5.4: Preserve Scanner Evidence During Resolution,A,3,,,https://github.com/khovan123/LCSP/tree/main/apps/api/src/modules; https://github.com/khovan123/LCSP/tree/main/packages/contracts/src/shared
6.1,Story 6.1: Ingest Official Legal Source Snapshot,E6,Epic 6 - Legal Corpus and Matching,E6-S61-F1,Story 6.1: Ingest Official Legal Source Snapshot,D,3,,,https://github.com/khovan123/LCSP/tree/main/apps/api/src/modules; https://github.com/khovan123/LCSP/tree/main/packages/contracts/src/shared
6.2,Story 6.2: Parse Legal Structure and Stable Hierarchical IDs,E6,Epic 6 - Legal Corpus and Matching,E6-S62-F1,Story 6.2: Parse Legal Structure and Stable Hierarchical IDs,D,3,,,https://github.com/khovan123/LCSP/tree/main/apps/api/src/modules; https://github.com/khovan123/LCSP/tree/main/packages/contracts/src/shared
6.3,Story 6.3: Approve LegalCorpusVersion,E6,Epic 6 - Legal Corpus and Matching,E6-S63-F1,Story 6.3: Approve LegalCorpusVersion,D,3,,,https://github.com/khovan123/LCSP/tree/main/apps/api/src/modules; https://github.com/khovan123/LCSP/tree/main/packages/contracts/src/shared
6.7,Story 6.7: Create LegalMatchingResult and LegalRuleMatch Evidence,E6,Epic 6 - Legal Corpus and Matching,E6-S67-F1,Story 6.7: Create LegalMatchingResult and LegalRuleMatch Evidence,D,3,,,https://github.com/khovan123/LCSP/tree/main/apps/api/src/modules; https://github.com/khovan123/LCSP/tree/main/packages/contracts/src/shared
7.3,Story 7.3: Use Real LLM Provider With Schema and Budget Guardrails,E7,Epic 7 - Classification,E7-S73-F1,Story 7.3: Use Real LLM Provider With Schema and Budget Guardrails,L,3,,,https://github.com/khovan123/LCSP/tree/main/apps/api/src/modules; https://github.com/khovan123/LCSP/tree/main/packages/contracts/src/shared
7.5,Story 7.5: Validate Classification Citations Against Legal Allowlist,E7,Epic 7 - Classification,E7-S75-F1,Story 7.5: Validate Classification Citations Against Legal Allowlist,A,3,,,https://github.com/khovan123/LCSP/tree/main/apps/api/src/modules; https://github.com/khovan123/LCSP/tree/main/packages/contracts/src/shared
8.1,Story 8.1: Generate GapAnalysis From Classification and Evidence,E8,Epic 8 - Reporting and Audit,E8-S81-F1,Story 8.1: Generate GapAnalysis From Classification and Evidence,D,3,,,https://github.com/khovan123/LCSP/tree/main/apps/api/src/modules; https://github.com/khovan123/LCSP/tree/main/packages/contracts/src/shared
8.3,Story 8.3: Generate Guarded Final Report,E8,Epic 8 - Reporting and Audit,E8-S83-F1,Story 8.3: Generate Guarded Final Report,D,3,,,https://github.com/khovan123/LCSP/tree/main/apps/api/src/modules; https://github.com/khovan123/LCSP/tree/main/packages/contracts/src/shared
8.6,Story 8.6: Record Immutable Assessment Audit Trail,E8,Epic 8 - Reporting and Audit,E8-S86-F1,Story 8.6: Record Immutable Assessment Audit Trail,L,3,,,https://github.com/khovan123/LCSP/tree/main/apps/api/src/modules; https://github.com/khovan123/LCSP/tree/main/packages/contracts/src/shared
8.7,Story 8.7: View and Export Redacted Audit Trail,E8,Epic 8 - Reporting and Audit,E8-S87-F1,Story 8.7: View and Export Redacted Audit Trail,L,3,,,https://github.com/khovan123/LCSP/tree/main/apps/api/src/modules; https://github.com/khovan123/LCSP/tree/main/packages/contracts/src/shared
